timestamp,relative humidity,air temperature
20160229103000,71,18.7
20160229100000,72,18.3
20160229093000,77,17.1
20160229090000,79,16.2
20160229083000,81,15.9
20160229080000,81,15.7
20160229073000,82,15.4
20160229070000,82,15.4
20160229063000,82,15.4
20160229060000,83,15.1
20160229053000,82,15.3
20160229050000,84,15.2
20160229043000,86,14.6
20160229040000,87,14.1
20160229033000,87,14.0
20160229030000,87,14.1
20160229023000,88,14.2
20160229020000,87,14.4
20160229013000,87,14.6
20160229010000,84,15.2
20160229003000,81,15.9
20160229000000,84,15.5
20160228233000,83,14.9
20160228230000,81,15.6
20160228223000,79,15.9
20160228220000,75,16.4
20160228213000,72,16.9
20160228210000,70,17.3
20160228203000,67,18.1
20160228200000,64,18.7
20160228193000,62,19.4
20160228190000,61,19.9
20160228183000,58,21.3
20160228180000,52,22.6
20160228173000,52,22.7
20160228170000,53,22.2
20160228163000,56,21.8
20160228160000,55,22.4
20160228153000,53,21.7
20160228150000,49,22.2
20160228143000,47,23.3
20160228140000,52,22.5
20160228133000,54,22.1
20160228130000,57,21.0
20160228123000,60,20.3
20160228120000,63,19.2
20160228113000,61,19.6
20160228110000,65,18.5
20160228103000,65,18.4
20160228100000,66,18.4
20160228093000,69,18.0
20160228090000,69,17.7
20160228083000,72,17.5
20160228080000,72,17.2
20160228073000,74,17.1
20160228070000,75,17.1
20160228063000,76,17.2
20160228060000,76,17.2
20160228053000,74,17.3
20160228050000,75,17.4
20160228043000,74,17.5
20160228040000,75,17.5
20160228033000,74,17.5
20160228030000,75,17.6
20160228023000,76,17.4
20160228020000,76,17.4
20160228013000,78,17.1
20160228010000,82,16.2
20160228003000,85,15.6
20160228000000,84,15.8
20160227233000,83,16.1
20160227230000,82,16.3
20160227223000,80,16.6
20160227220000,78,17.2
20160227213000,74,17.5
20160227210000,72,18.0
20160227203000,69,18.7
20160227200000,65,19.6
20160227193000,60,20.7
20160227190000,60,21.9
20160227183000,60,22.4
20160227180000,58,22.7
20160227173000,58,22.6
20160227170000,56,23.0
20160227163000,56,23.3
20160227160000,51,23.9
20160227153000,47,24.2
20160227150000,48,23.7
20160227143000,50,23.3
20160227140000,51,22.5
20160227133000,54,22.2
20160227130000,55,21.5
20160227123000,57,21.1
20160227120000,57,20.4
20160227113000,64,19.3
20160227110000,65,19.4
20160227103000,67,18.7
20160227100000,69,18.3
20160227093000,72,18.0
20160227090000,74,17.6
20160227083000,75,17.2
20160227080000,77,16.8
20160227073000,79,16.5
20160227070000,79,16.3
20160227063000,78,16.4
20160227060000,78,16.3
20160227053000,78,16.3
20160227050000,77,16.6
20160227043000,76,16.8
20160227040000,75,16.8
20160227033000,74,17.0
20160227030000,75,17.1
20160227023000,74,17.2
20160227020000,72,17.3
20160227013000,69,17.5
20160227010000,69,17.6
20160227003000,68,17.7
20160227000000,67,17.9
20160226233000,67,17.9
20160226230000,66,17.9
20160226223000,66,17.9
20160226220000,66,18.0
20160226213000,66,17.9
20160226210000,64,18.2
20160226203000,63,18.8
20160226200000,60,19.4
20160226193000,57,20.2
20160226190000,55,20.7
20160226183000,49,21.5
20160226180000,47,22.4
20160226173000,46,22.9
20160226170000,44,22.9
20160226163000,45,22.2
20160226160000,46,22.0
20160226153000,46,22.5
20160226150000,47,21.4
20160226143000,50,21.1
20160226140000,51,20.6
20160226133000,51,20.7
20160226130000,53,20.0
20160226123000,51,20.1
20160226120000,49,20.2
20160226113000,51,20.0
20160226110000,50,20.8
