timestamp,relative humidity,air temperature
2016-02-27,10:30,67,18.7
2016-02-27,10:00,69,18.3
2016-02-27,09:30,72,18.0
2016-02-27,09:00,74,17.6
2016-02-27,08:30,75,17.2
2016-02-27,08:00,77,16.8
2016-02-27,07:30,79,16.5
2016-02-27,07:00,79,16.3
2016-02-27,06:30,78,16.4
2016-02-27,06:00,78,16.3
2016-02-27,05:30,78,16.3
2016-02-27,05:00,77,16.6
2016-02-27,04:30,76,16.8
2016-02-27,04:00,75,16.8
2016-02-27,03:30,74,17.0
2016-02-27,03:00,75,17.1
2016-02-27,02:30,74,17.2
2016-02-27,02:00,72,17.3
2016-02-27,01:30,69,17.5
2016-02-27,01:00,69,17.6
2016-02-27,00:30,68,17.7
2016-02-27,00:00,67,17.9
2016-02-26,23:30,67,17.9
2016-02-26,23:00,66,17.9
2016-02-26,22:30,66,17.9
2016-02-26,22:00,66,18.0
2016-02-26,21:30,66,17.9
2016-02-26,21:00,64,18.2
2016-02-26,20:30,63,18.8
2016-02-26,20:00,60,19.4
2016-02-26,19:30,57,20.2
2016-02-26,19:00,55,20.7
2016-02-26,18:30,49,21.5
2016-02-26,18:00,47,22.4
2016-02-26,17:30,46,22.9
2016-02-26,17:00,44,22.9
2016-02-26,16:30,45,22.2
2016-02-26,16:00,46,22.0
2016-02-26,15:30,46,22.5
2016-02-26,15:00,47,21.4
2016-02-26,14:30,50,21.1
2016-02-26,14:00,51,20.6
2016-02-26,13:30,51,20.7
2016-02-26,13:00,53,20.0
2016-02-26,12:30,51,20.1
2016-02-26,12:00,49,20.2
2016-02-26,11:30,51,20.0
2016-02-26,11:00,50,20.8
2016-02-26,10:30,57,19.2
2016-02-26,10:00,64,19.0
2016-02-26,09:30,71,17.6
2016-02-26,09:00,74,16.3
2016-02-26,08:30,77,15.9
2016-02-26,08:00,82,14.7
2016-02-26,07:30,91,13.4
2016-02-26,07:00,90,11.5
2016-02-26,06:30,90,11.7
2016-02-26,06:00,87,12.1
2016-02-26,05:30,86,13.6
2016-02-26,05:00,86,13.0
2016-02-26,04:30,82,14.1
2016-02-26,04:00,79,14.7
2016-02-26,03:30,75,16.1
2016-02-26,03:00,76,16.3
2016-02-26,02:30,74,16.6
2016-02-26,02:00,73,17.1
2016-02-26,01:30,71,17.5
2016-02-26,01:00,69,18.2
2016-02-26,00:30,69,18.8
2016-02-26,00:00,79,18.0
2016-02-25,23:30,81,17.3
2016-02-25,23:00,79,17.5
2016-02-25,22:30,77,17.9
2016-02-25,22:00,75,18.3
2016-02-25,21:30,73,19.1
2016-02-25,21:00,72,19.4
2016-02-25,20:30,69,20.1
2016-02-25,20:00,69,20.8
2016-02-25,19:30,66,21.6
2016-02-25,19:00,51,23.9
2016-02-25,18:30,54,24.0
2016-02-25,18:00,49,26.4
2016-02-25,17:30,47,26.0
2016-02-25,17:00,50,25.4
2016-02-25,16:30,51,25.1
2016-02-25,16:00,48,26.3
2016-02-25,15:30,47,27.1
2016-02-25,15:00,54,26.7
2016-02-25,14:30,60,24.6
2016-02-25,14:00,57,24.9
2016-02-25,13:30,61,24.3
2016-02-25,13:00,63,24.3
2016-02-25,12:30,66,23.3
2016-02-25,12:00,66,22.9
2016-02-25,11:30,67,23.1
2016-02-25,11:00,70,22.4
2016-02-25,10:30,75,21.9
2016-02-25,10:00,77,21.2
2016-02-25,09:30,90,19.6
2016-02-25,09:00,87,20.5
2016-02-25,08:30,87,20.4
2016-02-25,08:00,86,20.4
2016-02-25,07:30,86,19.9
2016-02-25,07:00,86,20.0
2016-02-25,06:30,89,19.6
2016-02-25,06:00,88,19.9
2016-02-25,05:30,87,19.8
2016-02-25,05:00,88,19.7
2016-02-25,04:30,87,19.9
2016-02-25,04:00,87,20.0
2016-02-25,03:30,87,20.0
2016-02-25,03:00,89,19.9
2016-02-25,02:30,89,19.7
2016-02-25,02:00,89,19.7
2016-02-25,01:30,88,19.8
2016-02-25,01:00,87,19.9
2016-02-25,00:30,86,20.1
2016-02-25,00:00,84,20.3
2016-02-24,23:30,79,21.1
2016-02-24,23:00,77,21.1
2016-02-24,22:30,78,20.9
2016-02-24,22:00,79,20.6
2016-02-24,21:30,84,19.7
2016-02-24,21:00,80,20.0
2016-02-24,20:30,78,20.2
2016-02-24,20:00,74,20.9
2016-02-24,19:30,72,21.3
2016-02-24,19:00,68,21.8
2016-02-24,18:30,69,22.6
2016-02-24,18:00,67,23.1
2016-02-24,17:30,63,24.3
2016-02-24,17:00,59,25.9
2016-02-24,16:30,54,26.8
2016-02-24,16:00,51,28.2
2016-02-24,15:30,46,30.2
2016-02-24,15:00,47,29.4
2016-02-24,14:30,45,30.0
2016-02-24,14:00,46,30.4
2016-02-24,13:30,47,29.7
2016-02-24,13:00,48,28.7
2016-02-24,12:30,48,28.7
2016-02-24,12:00,50,27.9
2016-02-24,11:30,48,28.6
2016-02-24,11:00,49,26.8
